cod,denumire,um,tva,den_tip,stoc,grupa,pret_vanz,pret_v_tva,is_valuta,cod_bare,cod_fe,cod_cpv,plu,tip,pret_vanz2,pret_v_tv2,blocat,brut,cant_min,text_supl,garantie,greutate,ok,is_lot,cod_cer,categorie,cod_sgr,volum,tip_a,tara_orig,greutate_b
"00000001","STAMPILA","BUC",0.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000002","CUTIE SCULE 26 AL","BUC",0.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000003","GEANTA SCULE 406M","BUC",0.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000004","REGISTRU UNIC DE CONTROL","BUC",0.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000005","MASINA DE GAURIT 2AK","BUC",0.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000006","APARAT LIPITPOLIP 1500W","BUC",0.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000007","ANTENA STATIE CB","BUC",0.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000008","STATIE RADIO CB","BUC",0.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000009","ASPIRATOR 17L 1000 W WD3 KARCH","BUC",0.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000010","SET 12 CHEI INELARE DUBLU COTITE","BUC",0.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000011","SET 12 CHEI FIXE","BUC",0.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000012","APARAT DE MANA PT. LIPIT TURBO STAR","BUC",0.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
