cod,denumire,um,tva,den_tip,stoc,grupa,pret_vanz,pret_v_tva,is_valuta,cod_bare,cod_fe,cod_cpv,plu
1,COMBUSTIBIL,LITRI,19,Combustibili,0.89,,0,0,0,0,,,0
2,MAI COMPACTOR CV 76H HONDA GXR120,BUC,19,MIJLOACE FIXE,1,,0,0,0,0,,,0
3,MATERIALE AUXILIARE,BUC,19,Materiale auxiliare,0,,0,0,0,0,,,0
4,SERVICII TERTI,BUC,19,SERVICII TERTI,380,,0,0,0,0,,,0
5,CHIRIE TAIETOR DE BETON,BUC,19,SERVICII TERTI,1,,0,0,0,0,,,0
6,SSM SI SU,BUC,0,SERVICII TERTI,3,,0,0,0,0,,,0
7,LUCRARI DE PREGATIRE TEREN,BUC,19,SERVICII TERTI,2,,0,0,0,0,,,0
8,DISPOZITIV MONITORIZARE GPS EVO34,BUC,19,Obiecte de inventar,0,,0,0,0,0,,,0
9,COCAN DEMOLATOR GSH 11E BOSH,BUC,19,MIJLOACE FIXE,0,,0,0,0,0,,,0
10,VENITURI DIN CHIRII,BUC,19,SERVICII TERTI,2,,0,0,0,0,,,0
11,VERIFICARE INJECTOARE,BUC,19,SERVICII TERTI,4,,0,0,0,0,,,0
12,CIOCAN DEMOLATOR GSH 11 E BOSH,BUC,19,"ECHIPAMENTE TEHNOLOGICE ( MASINI, UT",1,,0,0,0,0,,,0
13,NIVELA OPTICA AUTOMATA 24X NA324 SOLO,BUC,19,Obiecte de inventar,0,,0,0,0,0,,,0
14,STATIV BT160 0601091200,BUC,19,Obiecte de inventar,0,,0,0,0,0,,,0
15,MIRA NIVELA OPTICA GR 500 0601094300,BUC,19,Obiecte de inventar,0,,0,0,0,0,,,0
16,ROABA,BUC,19,Obiecte de inventar,0,,0,0,0,0,,,0
17,NIVELA,BUC,19,Obiecte de inventar,0,,0,0,0,0,,,0
18,INVERTOR SUDURA 232MMA 53211,BUC,19,Obiecte de inventar,0,,0,0,0,0,,,0
19,SISTEM ROTI CADRU 1467/1468,BUC,19,Obiecte de inventar,0,,0,0,0,0,,,0
20,MATERIALE LUCRARE,BUC,19,MATERIALE LUCRARE,43,,0,0,0,0,,,0
21,POLIZOR UNGHIULAR MAKITA M 9002 125 MM 1050W,BUC,19,Obiecte de inventar,0,,0,0,0,0,,,0
22,PPISTOL DE PURJARE CU CAPAT LUNG,BUC,19,Obiecte de inventar,0,,0,0,0,0,,,0
23,BOXA PORTABILA JJBL 1000W,BUC,19,Obiecte de inventar,0,,0,0,0,0,,,0
24,DRUJBA,BUC,19,Obiecte de inventar,0,,0,0,0,0,,,0
25,RIGLA DE MASURARE GR500,BUC,19,Obiecte de inventar,0,,0,0,0,0,,,0
26,BOCANCI GREEN S3,PER,19,Alte mat. consumabile,0,,0,0,0,0,,,0
27,INCHIRIERE UTILAJ,BUC,0,SERVICII TERTI,1,,0,0,0,0,,,0
28,REFACTURARE PRESTATII UTILAJ,BUC,19,SERVICII TERTI,1,,0,0,0,0,,,0
29,INVERTOR DE SUDURA INVERTOR 232 MMA INTENSIV 53211,BUC,19,Obiecte de inventar,0,,0,0,0,0,,,0
30,SCARA CU DOUA TRONSOANE 7511 7711 2X11,BUC,19,Obiecte de inventar,0,,0,0,0,0,,,0
31,FERASTRAU SABIE GSA120 1200W 06016B1020,BUC,19,Obiecte de inventar,0,,0,0,0,0,,,0
32,PLACA TALPA COMPACTOARE BOMAG BT 60/65,BUC,19,Obiecte de inventar,0,,0,0,0,0,,,0
33,CAUCIUC 10-16.5,BUC,19,Obiecte de inventar,0,,0,0,0,0,,,0
34,1050585 - REDRESOR DIGITAL 12AMP ABSAAR,BUC,21,Obiecte de inventar,0,,0,0,0,0,,,0
35,MLT3025VBI MULTIFUNCTIONAL LASER MONOCROM XEROX 3025V BI  SN,BUC,21,Obiecte de inventar,0,,0,0,0,0,,,0
36,DEWALT DCB1104 (INCARCATOR SCULE),BUC,21,Obiecte de inventar,0,,0,0,0,0,,,0
37,BOSCH GAL  (1600A019RJ) - INCARCATOR SCULE,BUC,21,Obiecte de inventar,0,,0,0,0,0,,,0
38,APARAT ELECTROFUZIUNE MSA 2.0,BUC,21,Obiecte de inventar,0,,0,0,0,0,,,0
39,STADIE TELESCOPICA 7M TS-70,BUC,21,Obiecte de inventar,0,,0,0,0,0,,,0
40,IL2I4V4S06A_030 DISP. RID. LANT I_4C CLEVIS D6MM  3M + 4 CAR,BUC,21,Obiecte de inventar,0,,0,0,0,0,,,0
41,MASINA DE GAURIT CU PERCUTIE,BUC,21,Obiecte de inventar,0,,0,0,0,0,,,0
42,AEROTERMA EL PAXTON 5KW AE5-380R-PTC 380,BUC,21,Obiecte de inventar,0,,0,0,0,0,,,0
43,MOTODEBITATOR HUSQVARNA K770,BUC,21,Obiecte de inventar,0,,0,0,0,0,,,0
44,POMPA APA HIKOKI 712630,BUC,21,Obiecte de inventar,0,,0,0,0,0,,,0
45,NIVELA OPTICA LEICA NA720,BUC,21,Obiecte de inventar,0,,0,0,0,0,,,0
46,ROTOPERCUTOR MAKITA HR4002,BUC,21,Obiecte de inventar,0,,0,0,0,0,,,0
47,CURATITOR HD 5/15 C PLUS 1.520-931.0,BUC,21,Obiecte de inventar,0,,0,0,0,0,,,0
48,NIVELA OPTICA N32X SET CU TS50 SI SJJ1,BUC,21,Obiecte de inventar,0,,0,0,0,0,,,0
