cod,denumire,cod_fiscal,analitic,tara,judet,localitate,adresa,cont_banca,banca,tel,email,grupa,reg_com,den_agent
1,EURODRIVESHAFT S.R.L.,RO39668863,401.00001,RO,IS,TOMESTI,"STR. STUPINELOR, NR. 8CIP",,,749945398,,,J22/1973/2018,
2,ARABESQUE SRL,RO5340801,401.00002,RO,GL,GALATI,"STR. TIMISULUI, NR. 1",,,236463063,,,J1994000666173,
3,LEROY MERLIN ROMANIA SRL,RO16702141,401.00003,RO,B,BUCURESTI SECTOR 2,"SOS. PIPERA, NR. 43 ,CLADIREA B",,,213125888,,,J2004013616401,
4,SOCAR PETROLEUM S.A.,RO12546600,401.00004,RO,B,BUCURESTI SECTOR 1,"CAL. FLOREASCA, NR. 169A ,LOT 1",,,231533303,,,J2012013723409,
5,RADBURG SOFT SERVICE SRL,RO24810128,401.00005,RO,SV,MARGINEA,NR. 2116,,,745949010,,,J33/1800/2008,
6,DEDEMAN SRL,RO2816464,401.00006,RO,BC,BACAU,"STR. ALEXEI TOLSTOI, NR. 8",,,234513330,,,J04/2621/1992,
7,COSMOS AUTO S.R.L.,RO41779065,401.00007,RO,IS,IASI,"FDC. URSULEA, NR. 22E",,,,,,J2019003239227,
8,INDEXTECH SRL,RO37797888,401.00008,RO,IS,MIROSLAVA,"STR. CICOAREI, NR. 13D",,,,,,J2017001898224,
9,PETR-OIL-STAR SRL,RO26343002,401.00009,RO,IS,IASI,"SOS. NICOLINA, NR. 45A",,,742812677,,,J22/2073/2009,
10,LUKOIL ROMANIA SRL,RO10547022,401.0001,RO,B,BUCURESTI SECTOR 1,"STR. SIRIULUI, NR. 20 ,CORP A",,,752074056,,,J1998004469408,
11,SERVICII SPECIALE IN CONSTRUCTII SRL,32687930,401.00011,RO,IS,BARNOVA,"STR. CONSTANTIN BRANCOVEANU, NR. 14",,,766318324,,,J22/93/2014,
12,TRODAT SRL,RO3969148,401.00012,RO,B,BUCURESTI SECTOR 3,"STR. RADU CALOMFIRESCU, NR. 6",,,213154948,,,J1993005809402,
13,PIM SRL,RO1988097,401.00013,RO,IS,IASI,"BLD. INDEPENDENTEI, NR. 14 ,SP.COMERCIAL C2/1/1",,,720772277,,,J1992002331228,
14,EHS-PREVENTION S.R.L.,40698469,401.00014,RO,IS,MIROSLAVA,"STR. CAROL DAVILA, NR. 7",,,749642108,,,J2019000993221,
15,MIHAILESCU-BIRSAN CODRIN-MARIAN PERSOANA FIZICA AUTORIZATA,35049104,401.00015,RO,IS,MIROSLAVA,",CAMERA 1",,,,,,F22/1671/2015,
16,CONRAN S.R.L.,RO6042137,401.00016,RO,IS,IASI,"STR. SMARDAN, NR. 58",,,232217987,,,J22/1937/1994,
17,CREDITOP SRL,RO23012489,401.00017,RO,IS,IASI,"STR. ETERNITATE, NR. 23A",,,,,,J2008000035226,
18,CAR WASH GABY&GEO S.R.L.,44343930,401.00018,RO,IS,IASI,"ALEEA ROZELOR, NR. 32",,,,,,J22/1780/2021,
19,UNIX AUTO SRL,RO10542416,401.00019,RO,CJ,CLUJ-NAPOCA,"CAL. DOROBANTILOR, NR. 98-100 ,CLADIREA OLIMPIA BUSINESS CENTER",,,264441444,,,J1999001398126,
20,OMV PETROM MARKETING SRL,RO11201891,401.0002,RO,B,BUCURESTI SECTOR 1,"STR. CORALILOR, NR. 22 ,CLADIREA INFINITY.OVAL B",,,,,,J1998010637402,
21,OPRISA S. CRISTINA - CABINET MEDICAL INDIVIDUAL MEDICINA MUNCII,26220271,401.00021,RO,IS,IASI,"ALEEA TUDOR NECULAI, NR. 131A",,,722620602,,,,
22,NAPROTECT INVEST SRL,RO29420150,401.00022,RO,CJ,JUCU,"STR. STANISTE, NR. 12",,,757356932,,,J12/2993/2011,
