cod,denumire,cod_fiscal,analitic,tara,judet,localitate,adresa,cont_banca,banca,tel,email,grupa,reg_com,den_agent
"00001","ITALIAN VINTAGE S.R.L.","RO29025275","401.00001","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 4, STR. REZONANTEI, NR.1-3, CAM.1, BL.15-16, SC.B, ET.3, AP.26","","","0721253136","","","J40/10227/2011",""
"00002","DEDEMAN SRL","RO2816464","401.00002","RO","BC","","JUD. BACAU, MUN. BACAU, STR. ALEXEI TOLSTOI, NR.8","","","400234573330","","","J04/2621/1992",""
"00003","DIRECTIA GENERALA REGIONALA A FINANTELOR PUBLICE BUCURESTI","4193117","401.00003","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 2, STR. DIMITRIE D. GEROTA, NR.13","","","3057098","","","-/-/-",""
"00004","ROMANIA HYPERMARCHE SA","RO14374293","401.00004","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 3, SOS. DUDESTI-PANTELIMON, NR.73-75, BL.INCINTA CORA PANTELIMON, AP.SP","","","0213000770","","","J40/38/2002",""
"00005","LEROY MERLIN ROMANIA SRL","RO16702141","401.00005","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 2, STR. ICOANEI, NR.11-13, ET.2,3 SI 4","","","0213125888","","","J40/13616/2004",""
"00006","ALTEX ROMANIA SRL","RO2864518","401.00006","RO","B","","JUD. ILFOV, ORS. VOLUNTARI, SOS. BUCURESTI NORD, NR.10, CLADIREA GLOBAL CITY BUSINESS PARK, CORPUL O","","","0233210671","","","J23/2611/2016",""
"00007","ATCA SOLUTIONS S.R.L.","RO35328710","401.00007","RO","B","BUCURESTI SECTOR 4 "},"ADRESA_DOMICILIU_FISCAL","SOS. OLTENITEI, NR. 133 ,CAMERA 1","","","0743153701","","","J2015015223409",""
"00008","BRICOSTORE ROMANIA SA","RO14328360","401.00008","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 6, CALEA GIULESTI (CENTRUL COM. BRICOSTORE), NR.1-3, ET.2","","","02140444111","","","J40/9990/2001",""
"00009","HORNBACH CENTRALA SRL","RO17777320","401.00009","RO","IF","","JUD. ILFOV, SAT DOMNESTI COM. DOMNESTI, STR. HORNBACH, NR.17-21","","","0212061574","","","J23/699/2010",""
"00010","CARREFOUR ROMANIA SA","RO11588780","401.00010","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 2, STR. GARA HERASTRAU, NR.4C, BL.GREEN COURT BUCHAREST,CLAD B, ET.4-7","","","0212067423","","","J40/7766/2007",""
"00011","VIALLY COM IMPEX SRL","RO8564269","401.00011","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 3, CALEA DUDESTI, NR.145","","","0213268781","","","J40/4893/1996",""
"00012","SOCIETATE PROFESIONALA NOTARIALA SILVIA BARLADEANU SI ALEXANDRU","RO19335120","401.00012","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 4, SOS. OLTENITEI, NR.220, BL.8, SC.B, AP.56","","","3323185","","","-/-/-",""
"00013","TESTO ROM SRL","RO29374402","401.00013","RO","CJ","","JUD. CLUJ, MUN. CLUJ-NAPOCA, CAL. TURZII, NR.247","","","0730973794","","","J12/2890/2011",""
"00014","URGENT CARGUS S.A.","RO3541906","401.00014","RO","IF","","JUD. ILFOV, ORS. MAGURELE, SOS. ATOMISTILOR, NR.99-115, BL.CORP C1","","","0740408014","","","J23/344/2013",""
"00015","VOENDBERT COM SRL","RO16746555","401.00015","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 4, ALEEA CRICOVUL DULCE, NR.1, BL.N16, SC.4, AP.40","","","-","","","J40/14436/2004",""
"00016","FLANCO RETAIL SA","RO27698631","401.00016","RO","B","","JUD. ILFOV, ORS. VOLUNTARI, SOS. BUCURESTI NORD, NR.15-23, PARCUL DE BIROURI SWAN, CLADIREA A (DENUM","","","0212038100","","","J23/513/2012",""
"00017","CRISTIAN KLIMATEHNIK SRL","RO30186089","401.00017","RO","IF","","JUD. ILFOV, ORS. POPESTI-LEORDENI, STR. LEORDENI, NR.77, AP.1","","","-","","","J23/1298/2012",""
"00018","ROMSTAL IMEX SRL","RO5990324","401.00018","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 4, SOS. VITAN BARZESTI, NR.11A","","","0213320901","","","J40/14205/1994",""
"00019","KARMA PROTECT SRL","RO23155586","401.00019","RO","DB","","JUD. DAMBOVITA, MUN. TIRGOVISTE, BLD. UNIRII, BL.72, SC.A, AP.16","","","0729858255","","","J15/118/2008",""
"00020","VOLTA TEC SRL","RO19176807","401.00020","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 6, DRUMUL SARII, NR.84, AP.CAMERA 2","","","7813729","","","J40/17965/2006",""
"00021","CONSOFT SRL","RO14811991","401.00021","RO","BV","","JUD. BRASOV, MUN. BRASOV, STR. CARPATILOR, NR.60, BL.OBIEC.96, AP.PARTER","","","311477","","","J08/1042/2002",""
"00022","EUROVENT CLIMA TRADING SRL","RO34623089","401.00022","RO","IF","","JUD. ILFOV, ORS. POPESTI-LEORDENI, SOS. BERCENI, NR.11, CORP DREAPTA, BIROUL NR. 15, 16, 18 SI 19","","","-","","","J23/1914/2015",""
"00023","K-MOB EXCLUSIVE DESIGN S.R.L.","RO28607755","401.00023","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 6, B-DUL TIMISOARA, NR.69, BL.C13, SC.B, ET.10, AP.79","","","-","","","J40/7096/2011",""
"00024","ARABESQUE SRL","RO5340801","401.00024","RO","GL","","MUN. GALATI, STR. TIMISULUI, NR.1","","","0236463063","","","J17/666/1994",""
"00025","AUCHAN ROMANIA SA","RO17233051","401.00025","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 6, STR. BRASOV, NR.25, ET.4, AP.CAMERA 1","","","0374810000","","","J40/2731/2005",""
"00026","MONTECRISTO RETAIL RO SRL","RO15103845","401.00026","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 3, BLD. BASARABIA, NR.256, BL.115C","","","0314381764","","","J40/10084/2011",""
"00027","TRODAT SRL","RO3969148","401.00027","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 3, STR. RADU CALOMFIRESCU, NR.6, ET.P, AP.CAMERA 4","","","0213153948","","","J40/5809/1993",""
"00028","GUSTAV SRL","RO2737280","401.00028","RO","BV","","JUD. BRASOV, LOC. TIMISU DE JOS ORS. PREDEAL, STR. SECTOR DIMBUL MORII, NR.30","","","0722369747","","","J08/3289/1992",""
"00029","STOP HOTEL SRL","RO30525517","401.00029","RO","BV","","JUD. BRASOV, SAT SANPETRU COM. SANPETRU, STR. ZAHARIA BARSAN, NR.6DJ, CAM.1","","","0722218816","","","J08/1222/2012",""
"00030","LAGARDERE TRAVEL RETAIL SRL","RO8529539","401.00030","RO","B","","SECTOR 2, BLD. DIMITRIE POMPEIU, NR.9-9A, ET.P+1+2","","","0314078250","","","J40/4844/1996",""
"00031","VERTICAL CIA SRL","RO18679835","401.00031","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 6, BLD. IULIU MANIU, NR.109A, BL.E1, SC.1, ET.P, AP.2","","","0724915637","","","J40/8027/2006",""
"00032","MED CLIMA-FIRE SYSTEMS S.R.L.","RO39398930","401.00032","RO","B","","JUD. BUZAU, SAT BERCA COM. BERCA, BERCA, BL.1, SC.1, ET.1, AP.8","","","0724915637","","","J40/8027/2006",""
"00033","VALROM INDUSTRIE SRL","RO8529679","401.00033","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 6, B-DUL PRECIZIEI, NR.28","","","0742530899","","","J40/4810/1996",""
"00034","CORAL BUSINESS INSTAL SRL","RO31990390","401.00034","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 1, STR. CORALILOR, NR.2, CORP C2-DEPOZIT, CAMERA P5, PARTER","","","0746174471","","","J40/8662/2013",""
"00035","STUDIO MODERNA S.A.","RO15065733","401.00035","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 6, SPL. INDEPENDENTEI, NR.319L, CLADIREA PARIS, CORP A1, ET.PARTER","","","0214075050","","","J40/12581/2002",""
"00036","WUNDER HAFF SRL","RO27018590","401.00036","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 6, ALEEA BAIA DE ARIES, NR.2, BL.7, SC.3, ET.1, AP.36","","","0740090229","","","J40/5699/2010",""
"00037","SATBOS SRL","RO8324410","401.00037","RO","VL","","JUD. ARGES, SAT DEDULESTI COM. MORARESTI, DEDULESTI, NR.61","","","0722549611","","","J38/221/1996",""
"00038","LACTO BAR AGNEZA S.R.L.","RO1913787","401.00038","RO","B","","JUD. CALARASI, MUN. CALARASI, STR. BUCURESTI, NR.293","","","0242313040","","","J51/274/1992",""
"00039","ALBATROS SRL","RO1932290","401.00039","RO","CL","","JUD. CALARASI, MUN. CALARASI, SOS. CHICIULUI","","","0242312265","","","J51/230/1991",""
"00040","LIDL DISCOUNT SRL","RO22891860","401.00040","RO","PH","","JUD. PRAHOVA, SAT NEDELEA COM. ARICESTII RAHTIVANI, SOS. DN 72, NR.KM 73+810","","","0721258311","","","J29/3212/2007",""
"00041","ZONIX SRL","RO1232670","401.00041","RO","MS","","JUD. MURES, ORS. LUDUS, B-DUL 1 DECEMBRIE 1918, NR.43","","","744616254","","","J26/1683/1992",""
"00042","PROAER TECHNIK SRL","RO35070890","401.00042","RO","IF","","JUD. ILFOV, SAT STEFANESTII DE JOS COM. STEFANESTII DE JOS, STR. LINIA DE CENTURA, NR.2, BL.DEPOZITU","","","-","","","J23/66/2016",""
"00043","ZAHARIA SEMPER INVEST S.R.L.","RO25302217","401.00043","RO","CT","","JUD. CONSTANTA, MUN. CONSTANTA, ALEEA MURELOR, NR.10, BL.BC1, SC.A, AP.28","","","-","","","J13/882/2010",""
"00044","IBBCO COMPANY S.R.L.","RO14217469","401.00044","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 2, SOS. FUNDENI, NR.21-25","","","0722538045","","","J40/8406/2001",""
"00045","CENTRUL MEDICAL DAVA SRL","5822606","401.00045","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 2, STR. AVRAM IANCU, NR.30, CAM 2, AP.1B","","","17466474","","","J40/10695/1994",""
"00046","AUSTIN JUNIOR SRL","RO28083340","401.00046","RO","CT","","JUD. CONSTANTA, MUN. CONSTANTA, BLD. AUREL VLAICU, SOLA 56VN 563/1, LOT 1, ET.3","","","0729332711","","","J13/431/2011",""
"00047","VDB DYNASTY S.R.L.","RO6024548","401.00047","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 3, STR. DRISTORULUI, NR.91-95, BL.C, ET.10, AP.1008","","","-","","","J40/13461/1994",""
"00048","PROFI ROM FOOD SRL","RO11607939","401.00048","RO","TM","","JUD. TIMIS, MUN. TIMISOARA, CAL. SEVER BOCU, NR.31","","","0372568911","","","J35/239/1999",""
"00049","ROMPETROL DOWNSTREAM SRL","RO12751583","401.00049","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 1, PTA. PRESEI LIBERE, NR.3-5, BL.CITY GATE NORTHERN TOWER, ET.2","","","0212067500","","","J40/1716/2000",""
"00050","ENACHE VERGINEL","1531218170018","401.00050","RO","","","GALATI","","","","","","",""
"00051","SOFT CAR PAPERS S.R.L.","39054081","401.00051","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 3, CALEA VITAN, NR.242, CORP C2, PARTER, CAMERA 31","","","-","","","",""
"00052","SOCIETATEA DE ASIGURARE-REASIGURARE CITY INSURANCE SA","10392742","401.00052","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 1, STR. EMANOIL PORUMBARU, NR.93-95, ET.P,1,2,4,5","","","0723356109","","","J40/3150/1998",""
"00053","LUKOIL ROMANIA SRL","RO10547022","401.00053","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 1, STR. SIRIULUI, NR.20, CORP A","","","0752074056","","","J40/4469/1998",""
