Pagina;Furnizor;CIF Furnizor;Client;Data;Nr. document;Cod produs;Nume produs;Cantitate;UM;Pret unitar (net);Valoare (net);TVA;Total;Cont contabil;Observatii
1;OCTANO DOWNSTREAM SRL;RO38075752;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);01.03.2026;BF 4001010710;;MOTORINA EURO 5 - POMPA 3;12.1599;L;6.88;83.61;17.56;101.17;6022;
1;DEDEMAN SRL;RO2816464;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);03.02.2026;BF (nr. partial vizibil);27817;CLESTE REGL CU FALCI 240;1;BUC;27.83;27.83;5.84;33.67;604;Cota TVA notata "D 21%" pe bon (nu A) - de verificat
1;DEDEMAN SRL;RO2816464;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);03.02.2026;BF (nr. partial vizibil);51719;ROLA CU JANTA OTEL 200M/205KG;2;BUC;37.55;75.10;15.78;90.88;604;
1;SC RD ARRIES CON SRL;RO27685763;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);04.03.2026;BF 0009;;SCULE;1;BUC;33.88;33.88;7.12;41.00;604;Descriere generica "SCULE" - poate fi 303 daca >5000 lei sau durabile
1;SC RD ARRIES CON SRL;RO27685763;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);04.03.2026;BF (nr. partial vizibil);;SCULE;1;BUC;9.92;9.92;2.08;12.00;604;Descriere generica "SCULE"
2;DEDEMAN SRL;RO2816464;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);10.03.2026;Factura 87009115194;1084522;TRUSA AUTO MEGA DRIVE 107193;1;BUC;32.97;32.97;6.92;39.89;604;Bon insotit de factura RO e-Factura
2;DEDEMAN SRL;RO2816464;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);10.03.2026;Factura 87009115194;2034763;TRUSA STATIONARA DE PRIM AJUTOR E12-EK2;1;BUC;209.09;209.09;43.91;253.00;604;
2;DEDEMAN SRL;RO2816464;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);10.03.2026;Factura 87009115194;7015124;STINGATOR P1 CU MANOMETRU;1;BUC;48.76;48.76;10.24;59.00;604;Posibil 303 daca se considera obiect de inventar
2;DEDEMAN SRL;RO2816464;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);10.03.2026;Factura 87009115194;7015128;STINGATOR P5L P6;1;BUC;128.02;128.02;26.88;154.90;604;Posibil 303 daca se considera obiect de inventar
2;LUKOIL ROMANIA SRL (Statia Iasi 2);;;06.03.2026;-;;-;-;-;-;-;-;528.06;-;NU ESTE BON FISCAL - este "BON NEFISCAL" (extras puncte loialitate). De ignorat sau de cautat bonul fiscal corespunzator
2;OMV PETROM MARKETING SRL;RO11201891;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);18.02.2026;BON 0094-00779;;MOTORINA STANDARD;24.6596;L;6.70;165.28;34.71;199.99;6022;Casier: SAVIN MARCEL
3;DPD (Dynamic Parcel Distribution);;METRICAROM 23 INVEST;26.07.2026 (?);AWB 81255805/30;;Servicii de curierat;1;buc;-;-;-;-;624 sau 628;Bon foarte slab vizibil - sume nelizibile, data incerta. De recitit originalul
3;DPD (Dynamic Parcel Distribution);;METRICAROM 23 INVEST;26.07.2026 (?);Chitanta 99/0030...;;Plata curier;1;buc;-;-;0.00;19.94;624 sau 628;CHITANTA (nu bon fiscal). De obicei nu se inregistreaza ca bon fiscal
3;OMV PETROM MARKETING SRL;RO11201891;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);24.03.2026;BON 0135-00051;;BENZINA STANDARD 95;38.9704;L;7.56;294.69;61.89;356.58;6022;Casier: GIURGICA CIPRIAN
4;DEDEMAN SRL;RO2816464;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);16.03.2026;Factura 47001256604;2025310;RACORD PORTFURTUN ALAMA 25X1 MASCULIN;1;BUC;14.12;14.12;2.97;17.09;604;
4;DEDEMAN SRL;RO2816464;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);16.03.2026;Factura 47001256604;7008209;PUNGI INCOLORE 200X300X0.04;1;BUC;0.25;0.25;0.05;0.30;604;Include ecotaxa 0.15 lei/buc
4;DEDEMAN SRL;RO2816464;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);16.03.2026;Factura 47001256604;2032801;ROBINET TRECERE FLUTURE 1''FF F-COMFORT;1;BUC;38.11;38.11;8.00;46.11;604;
4;DEDEMAN SRL;RO2816464;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);16.03.2026;Factura 47001256604;2025397;MANSON REDUS PT IBC 1000L 2''X1'' FE;1;BUC;47.60;47.60;10.00;57.60;604;
4;DEDEMAN SRL;RO2816464;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);19.03.2026;Factura 87005780092;7006831;CAZMA FARA COADA 35785;1;BUC;22.79;22.79;4.79;27.58;604;
4;DEDEMAN SRL;RO2816464;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);19.03.2026;Factura 87005780092;7075596;CAZMA GRUNMAN 3903;3;BUC;43.97;131.90;27.70;159.60;604;
4;DEDEMAN SRL;RO2816464;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);19.03.2026;Factura 87005780092;7047202;LOPATA DREAPTA CU COADA LT 35821;2;BUC;41.53;83.06;17.44;100.50;604;
4;DEDEMAN SRL;RO2816464;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);19.03.2026;Factura 87005780092;7028644;TARANCOP 3KG VT COADA LEMN 895;1;BUC;61.98;61.98;13.02;75.00;604;
4;SC CARBOTECH SRL;RO1284485;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);17.03.2026;BF 0014;;(descriere produs nelizibila);1;BUC;60.33;60.33;12.67;73.00;604;Descrierea produsului nu e vizibila pe scan
5;DEDEMAN SRL;RO2816464;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);20.03.2026;Factura 87009115772;2001275;COT PVC 315X45 CU INEL;1;BUC;157.85;157.85;33.15;191.00;604;
5;DEDEMAN SRL;RO2816464;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);16.03.2026;Factura 87010111695;6014832;POLICARBONAT 2P 6MM UV 2X1.05 CLAR ESP;6;COL;49.16;294.94;61.94;356.88;604;
6;DEDEMAN SRL;RO2816464;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);17.03.2026;Factura 87010111771;1019443;CURATITOR HD 5/15 C PLUS 1.520-931.0;1;BUC;3223.14;3223.14;676.86;3900.00;303;Aspirator/curatitor profesional. Net dupa reducere = 2657.16 lei. Atentie prag obiecte inventar/imobilizari (5000 lei din 2024) - poate fi 303 sau 2131. De confirmat cu clientul
6;DEDEMAN SRL;RO2816464;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);17.03.2026;Factura 87010111771;;REDUCERE PROMO;-1;-;684.84;-566.00;-118.84;-684.84;303;Reducere aplicata pe linia precedenta (CURATITOR HD)
6;OMV PETROM MARKETING SRL;RO11201891;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);16.03.2026;BON 0198-00272;;OMV MAXXMOTION 95;39.8795;L;7.07;281.79;59.18;340.97;6022;Casier: ALEXANDRA ALEXANDRA
